"Year","Country","Giver","Score"
2005,"Bosnia-Herzegovina","Albania",0
2005,"Switzerland","Albania",0
2005,"Latvia","Albania",0
2005,"France","Albania",1
2004,"Spain","Albania",0
2004,"Austria","Albania",0
2004,"Norway","Albania",0
2004,"France","Albania",1
2004,"Serbia and Montenegro","Albania",7
2004,"Malta","Albania",3
2004,"Netherlands","Albania",0
2004,"Germany","Albania",2
2004,"Ukraine","Albania",5
2004,"Croatia","Albania",0
2004,"Bosnia-Herzegovina","Albania",10
2004,"Belgium","Albania",0
2004,"Russia","Albania",0
2004,"Macedonia","Albania",6
2004,"Greece","Albania",12
2004,"Iceland","Albania",0
2004,"Ireland","Albania",0
2004,"Poland","Albania",0
2004,"United Kingdom","Albania",0
2004,"Cyprus","Albania",0
2004,"Turkey","Albania",8
2004,"Romania","Albania",0
2004,"Sweden","Albania",4
2009,"Lithuania","Andorra",0
2009,"Israel","Andorra",7
2009,"France","Andorra",3
2009,"Sweden","Andorra",2
2009,"Croatia","Andorra",0
2009,"Portugal","Andorra",6
2009,"Iceland","Andorra",8
2009,"Greece","Andorra",0
2009,"Armenia","Andorra",0
2009,"Russia","Andorra",0
2009,"Azerbaijan","Andorra",0
2009,"Bosnia-Herzegovina","Andorra",0
2009,"Moldova","Andorra",0
2009,"Malta","Andorra",1
2009,"Estonia","Andorra",0
2009,"Denmark","Andorra",5
2009,"Germany","Andorra",0
2009,"Turkey","Andorra",0
2009,"Albania","Andorra",0
2009,"Norway","Andorra",10
2009,"Ukraine","Andorra",0
2009,"Romania","Andorra",0
2009,"United Kingdom","Andorra",4
2009,"Finland","Andorra",0
2009,"Spain","Andorra",12
2008,"Romania","Andorra",0
2008,"United Kingdom","Andorra",0
2008,"Albania","Andorra",0
2008,"Germany","Andorra",0
2008,"Armenia","Andorra",0
2008,"Bosnia-Herzegovina","Andorra",0
2008,"Israel","Andorra",0
2008,"Finland","Andorra",4
2008,"Croatia","Andorra",0
2008,"Poland","Andorra",0
2008,"Iceland","Andorra",0
2008,"Turkey","Andorra",0
2008,"Portugal","Andorra",10
2008,"Latvia","Andorra",2
2008,"Sweden","Andorra",0
2008,"Denmark","Andorra",0
2008,"Georgia","Andorra",0
2008,"Ukraine","Andorra",6
2008,"France","Andorra",3
2008,"Azerbaijan","Andorra",7
2008,"Greece","Andorra",8
2008,"Spain","Andorra",12
2008,"Serbia","Andorra",0
2008,"Russia","Andorra",5
2008,"Norway","Andorra",1
2007,"Bosnia-Herzegovina","Andorra",0
2007,"Spain","Andorra",0
2007,"Belarus","Andorra",0
2007,"Ireland","Andorra",0
2007,"Finland","Andorra",7
2007,"Macedonia","Andorra",0
2007,"Slovenia","Andorra",0
2007,"Hungary","Andorra",6
2007,"Lithuania","Andorra",1
2007,"Greece","Andorra",0
2007,"Georgia","Andorra",0
2007,"Sweden","Andorra",2
2007,"France","Andorra",8
2007,"Latvia","Andorra",0
2007,"Russia","Andorra",3
2007,"Germany","Andorra",5
2007,"Serbia","Andorra",0
2007,"Ukraine","Andorra",12
2007,"United Kingdom","Andorra",0
2007,"Romania","Andorra",10
2007,"Bulgaria","Andorra",0
2007,"Turkey","Andorra",0
2007,"Armenia","Andorra",0
2007,"Moldova","Andorra",4
2006,"Switzerland","Andorra",0
2006,"Moldova","Andorra",0
2006,"Israel","Andorra",0
2006,"Latvia","Andorra",0
2006,"Norway","Andorra",0
2006,"Spain","Andorra",12
2006,"Malta","Andorra",0
2006,"Germany","Andorra",0
2006,"Denmark","Andorra",0
2006,"Russia","Andorra",6
2006,"Macedonia","Andorra",0
2006,"Romania","Andorra",3
2006,"Bosnia-Herzegovina","Andorra",0
2006,"Lithuania","Andorra",7
2006,"United Kingdom","Andorra",2
2006,"Greece","Andorra",1
2006,"Finland","Andorra",10
2006,"Ukraine","Andorra",5
2006,"France","Andorra",0
2006,"Croatia","Andorra",0
2006,"Ireland","Andorra",4
2006,"Sweden","Andorra",8
2006,"Turkey","Andorra",0
2006,"Armenia","Andorra",0
2005,"Hungary","Andorra",6
2005,"United Kingdom","Andorra",0
2005,"Malta","Andorra",0
2005,"Romania","Andorra",7
2005,"Norway","Andorra",2
2005,"Turkey","Andorra",0
2005,"Moldova","Andorra",0
2005,"Albania","Andorra",0
2005,"Cyprus","Andorra",0
2005,"Spain","Andorra",12
2005,"Israel","Andorra",8
2005,"Serbia and Montenegro","Andorra",0
2005,"Denmark","Andorra",3
2005,"Sweden","Andorra",0
2005,"Macedonia","Andorra",0
2005,"Ukraine","Andorra",0
2005,"Germany","Andorra",0
2005,"Croatia","Andorra",0
2005,"Greece","Andorra",4
2005,"Russia","Andorra",0
2005,"Bosnia-Herzegovina","Andorra",0
2005,"Switzerland","Andorra",1
2005,"Latvia","Andorra",10
2005,"France","Andorra",5
2004,"Spain","Andorra",12
2004,"Austria","Andorra",0
2004,"Norway","Andorra",0
2004,"France","Andorra",7
2004,"Serbia and Montenegro","Andorra",2
2004,"Malta","Andorra",6
2004,"Netherlands","Andorra",0
2004,"Germany","Andorra",0
2004,"Albania","Andorra",0
2004,"Ukraine","Andorra",10
2004,"Croatia","Andorra",0
2004,"Bosnia-Herzegovina","Andorra",0
2004,"Belgium","Andorra",1
2004,"Russia","Andorra",0
2004,"Macedonia","Andorra",0
2004,"Greece","Andorra",8
2004,"Iceland","Andorra",0
2004,"Ireland","Andorra",0
2004,"Poland","Andorra",0
2004,"United Kingdom","Andorra",0
2004,"Cyprus","Andorra",4
2004,"Turkey","Andorra",3
2004,"Romania","Andorra",0
2004,"Sweden","Andorra",5
2009,"Lithuania","Armenia",0
2009,"Israel","Armenia",0
2009,"France","Armenia",6
2009,"Sweden","Armenia",0
2009,"Croatia","Armenia",0
2009,"Portugal","Armenia",0
2009,"Iceland","Armenia",5
2009,"Greece","Armenia",10
2009,"Russia","Armenia",12
2009,"Azerbaijan","Armenia",1
2009,"Bosnia-Herzegovina","Armenia",0
2009,"Moldova","Armenia",2
2009,"Malta","Armenia",0
2009,"Estonia","Armenia",0
2009,"Denmark","Armenia",0
2009,"Germany","Armenia",0
2009,"Turkey","Armenia",4
2009,"Albania","Armenia",0
2009,"Norway","Armenia",8
2009,"Ukraine","Armenia",3
2009,"Romania","Armenia",0
2009,"United Kingdom","Armenia",7
2009,"Finland","Armenia",0
2009,"Spain","Armenia",0
2008,"Romania","Armenia",0
2008,"United Kingdom","Armenia",0
2008,"Albania","Armenia",0
2008,"Germany","Armenia",0
2008,"Bosnia-Herzegovina","Armenia",0
2008,"Israel","Armenia",6
2008,"Finland","Armenia",0
2008,"Croatia","Armenia",2
2008,"Poland","Armenia",0
2008,"Iceland","Armenia",0
2008,"Turkey","Armenia",0
2008,"Portugal","Armenia",0
2008,"Latvia","Armenia",0
2008,"Sweden","Armenia",0
2008,"Denmark","Armenia",0
2008,"Georgia","Armenia",10
2008,"Ukraine","Armenia",5
2008,"France","Armenia",4
2008,"Azerbaijan","Armenia",0
2008,"Greece","Armenia",8
2008,"Spain","Armenia",1
2008,"Serbia","Armenia",3
2008,"Russia","Armenia",12
2008,"Norway","Armenia",7
2007,"Bosnia-Herzegovina","Armenia",1
2007,"Spain","Armenia",0
2007,"Belarus","Armenia",10
2007,"Ireland","Armenia",0
2007,"Finland","Armenia",0
2007,"Macedonia","Armenia",0
2007,"Slovenia","Armenia",0
2007,"Hungary","Armenia",0
2007,"Lithuania","Armenia",0
2007,"Greece","Armenia",8
2007,"Georgia","Armenia",5
2007,"Sweden","Armenia",0
2007,"France","Armenia",2
2007,"Latvia","Armenia",0
2007,"Russia","Armenia",12
2007,"Germany","Armenia",0
2007,"Serbia","Armenia",7
2007,"Ukraine","Armenia",6
2007,"United Kingdom","Armenia",0
2007,"Romania","Armenia",0
2007,"Bulgaria","Armenia",4
2007,"Turkey","Armenia",0
2007,"Moldova","Armenia",3
2006,"Switzerland","Armenia",0
2006,"Moldova","Armenia",0
2006,"Israel","Armenia",0
2006,"Latvia","Armenia",0
2006,"Norway","Armenia",1
2006,"Spain","Armenia",0
2006,"Malta","Armenia",0
2006,"Germany","Armenia",0
2006,"Denmark","Armenia",0
2006,"Russia","Armenia",12
2006,"Macedonia","Armenia",7
2006,"Romania","Armenia",4
2006,"Bosnia-Herzegovina","Armenia",5
2006,"Lithuania","Armenia",0
2006,"United Kingdom","Armenia",0
2006,"Greece","Armenia",8
2006,"Finland","Armenia",0
2006,"Ukraine","Armenia",10
2006,"France","Armenia",2
2006,"Croatia","Armenia",0
2006,"Ireland","Armenia",3
2006,"Sweden","Armenia",6
2006,"Turkey","Armenia",0
2007,"Bosnia-Herzegovina","Austria",8
2007,"Spain","Austria",0
2007,"Belarus","Austria",0
2007,"Ireland","Austria",0
2007,"Finland","Austria",0
2007,"Macedonia","Austria",1
2007,"Slovenia","Austria",0
2007,"Hungary","Austria",2
2007,"Lithuania","Austria",0
2007,"Greece","Austria",0
2007,"Georgia","Austria",0
2007,"Sweden","Austria",0
2007,"France","Austria",0
2007,"Latvia","Austria",0
2007,"Russia","Austria",0
2007,"Germany","Austria",7
2007,"Serbia","Austria",12
2007,"Ukraine","Austria",4
2007,"United Kingdom","Austria",0
2007,"Romania","Austria",3
2007,"Bulgaria","Austria",6
2007,"Turkey","Austria",10
2007,"Armenia","Austria",5
2007,"Moldova","Austria",0
2005,"Hungary","Austria",0
2005,"United Kingdom","Austria",0
2005,"Malta","Austria",5
2005,"Romania","Austria",6
2005,"Norway","Austria",0
2005,"Turkey","Austria",7
2005,"Moldova","Austria",2
2005,"Albania","Austria",3
2005,"Cyprus","Austria",0
2005,"Spain","Austria",0
2005,"Israel","Austria",1
2005,"Serbia and Montenegro","Austria",12
2005,"Denmark","Austria",0
2005,"Sweden","Austria",0
2005,"Macedonia","Austria",0
2005,"Ukraine","Austria",0
2005,"Germany","Austria",0
2005,"Croatia","Austria",8
2005,"Greece","Austria",4
2005,"Russia","Austria",0
2005,"Bosnia-Herzegovina","Austria",10
2005,"Switzerland","Austria",0
2005,"Latvia","Austria",0
2005,"France","Austria",0
2004,"Spain","Austria",0
2004,"Norway","Austria",0
2004,"France","Austria",0
2004,"Serbia and Montenegro","Austria",12
2004,"Malta","Austria",0
2004,"Netherlands","Austria",0
2004,"Germany","Austria",10
2004,"Albania","Austria",5
2004,"Ukraine","Austria",4
2004,"Croatia","Austria",3
2004,"Bosnia-Herzegovina","Austria",7
2004,"Belgium","Austria",0
2004,"Russia","Austria",0
2004,"Macedonia","Austria",0
2004,"Greece","Austria",2
2004,"Iceland","Austria",0
2004,"Ireland","Austria",0
2004,"Poland","Austria",0
2004,"United Kingdom","Austria",0
2004,"Cyprus","Austria",6
2004,"Turkey","Austria",8
2004,"Romania","Austria",0
2004,"Sweden","Austria",1
2003,"Iceland","Austria",0
2003,"Ireland","Austria",0
2003,"Turkey","Austria",12
2003,"Malta","Austria",0
2003,"Bosnia-Herzegovina","Austria",7
2003,"Portugal","Austria",0
2003,"Croatia","Austria",5
2003,"Cyprus","Austria",0
2003,"Germany","Austria",1
2003,"Russia","Austria",8
2003,"Spain","Austria",0
2003,"Israel","Austria",0
2003,"Netherlands","Austria",0
2003,"United Kingdom","Austria",0
2003,"Ukraine","Austria",0
2003,"Greece","Austria",0
2003,"Norway","Austria",2
2003,"France","Austria",0
2003,"Poland","Austria",10
2003,"Latvia","Austria",0
2003,"Belgium","Austria",4
2003,"Estonia","Austria",0
2003,"Romania","Austria",6
2003,"Sweden","Austria",3
2003,"Slovenia","Austria",0
2002,"Cyprus","Austria",0
2002,"United Kingdom","Austria",12
2002,"Greece","Austria",0
2002,"Spain","Austria",0
2002,"Croatia","Austria",6
2002,"Russia","Austria",0
2002,"Estonia","Austria",3
2002,"Macedonia","Austria",0
2002,"Israel","Austria",0
2002,"Switzerland","Austria",5
2002,"Sweden","Austria",4
2002,"Finland","Austria",0
2002,"Denmark","Austria",0
2002,"Bosnia-Herzegovina","Austria",7
2002,"Belgium","Austria",0
2002,"France","Austria",0
2002,"Germany","Austria",1
2002,"Turkey","Austria",0
2002,"Malta","Austria",8
2002,"Romania","Austria",0
2002,"Slovenia","Austria",2
2002,"Latvia","Austria",10
2002,"Lithuania","Austria",0
2000,"Israel","Austria",0
2000,"Netherlands","Austria",0
2000,"United Kingdom","Austria",0
2000,"Estonia","Austria",3
2000,"France","Austria",0
2000,"Romania","Austria",0
2000,"Malta","Austria",2
2000,"Norway","Austria",0
2000,"Russia","Austria",7
2000,"Belgium","Austria",0
2000,"Cyprus","Austria",0
2000,"Iceland","Austria",0
2000,"Spain","Austria",0
2000,"Denmark","Austria",10
2000,"Germany","Austria",12
2000,"Switzerland","Austria",1
2000,"Croatia","Austria",6
2000,"Sweden","Austria",0
2000,"Macedonia","Austria",0
2000,"Finland","Austria",0
2000,"Latvia","Austria",8
2000,"Turkey","Austria",5
2000,"Ireland","Austria",4
1999,"Lithuania","Austria",0
1999,"Belgium","Austria",0
1999,"Spain","Austria",0
1999,"Croatia","Austria",8
1999,"United Kingdom","Austria",0
1999,"Slovenia","Austria",0
1999,"Turkey","Austria",0
1999,"Norway","Austria",0
1999,"Denmark","Austria",5
1999,"France","Austria",0
1999,"Netherlands","Austria",4
1999,"Poland","Austria",0
1999,"Iceland","Austria",2
1999,"Cyprus","Austria",0
1999,"Sweden","Austria",6
1999,"Portugal","Austria",0
1999,"Ireland","Austria",0
1999,"Israel","Austria",1
1999,"Malta","Austria",7
1999,"Germany","Austria",10
1999,"Bosnia-Herzegovina","Austria",12
1999,"Estonia","Austria",3
2009,"Lithuania","Azerbaijan",1
2009,"Israel","Azerbaijan",0
2009,"France","Azerbaijan",0
2009,"Sweden","Azerbaijan",0
2009,"Croatia","Azerbaijan",5
2009,"Portugal","Azerbaijan",0
2009,"Iceland","Azerbaijan",0
2009,"Greece","Azerbaijan",0
2009,"Armenia","Azerbaijan",0
2009,"Russia","Azerbaijan",6
2009,"Bosnia-Herzegovina","Azerbaijan",2
2009,"Moldova","Azerbaijan",7
2009,"Malta","Azerbaijan",0
2009,"Estonia","Azerbaijan",4
2009,"Denmark","Azerbaijan",0
2009,"Germany","Azerbaijan",0
2009,"Turkey","Azerbaijan",12
2009,"Albania","Azerbaijan",0
2009,"Norway","Azerbaijan",8
2009,"Ukraine","Azerbaijan",10
2009,"Romania","Azerbaijan",3
2009,"United Kingdom","Azerbaijan",0
2009,"Finland","Azerbaijan",0
2009,"Spain","Azerbaijan",0
2008,"Romania","Azerbaijan",0
2008,"United Kingdom","Azerbaijan",0
2008,"Albania","Azerbaijan",1
2008,"Germany","Azerbaijan",0
2008,"Armenia","Azerbaijan",0
2008,"Bosnia-Herzegovina","Azerbaijan",3
2008,"Israel","Azerbaijan",7
2008,"Finland","Azerbaijan",0
2008,"Croatia","Azerbaijan",0
2008,"Poland","Azerbaijan",0
2008,"Iceland","Azerbaijan",0
2008,"Turkey","Azerbaijan",12
2008,"Portugal","Azerbaijan",0
2008,"Latvia","Azerbaijan",0
2008,"Sweden","Azerbaijan",0
2008,"Denmark","Azerbaijan",0
2008,"Georgia","Azerbaijan",4
2008,"Ukraine","Azerbaijan",10
2008,"France","Azerbaijan",0
2008,"Greece","Azerbaijan",6
2008,"Spain","Azerbaijan",0
2008,"Serbia","Azerbaijan",2
2008,"Russia","Azerbaijan",8
2008,"Norway","Azerbaijan",5
2009,"Lithuania","Belarus",0
2009,"Israel","Belarus",0
2009,"France","Belarus",7
2009,"Sweden","Belarus",0
2009,"Croatia","Belarus",0
2009,"Portugal","Belarus",0
2009,"Iceland","Belarus",2
2009,"Greece","Belarus",5
2009,"Armenia","Belarus",1
2009,"Russia","Belarus",8
2009,"Azerbaijan","Belarus",10
2009,"Bosnia-Herzegovina","Belarus",0
2009,"Moldova","Belarus",0
2009,"Malta","Belarus",0
2009,"Estonia","Belarus",4
2009,"Denmark","Belarus",0
2009,"Germany","Belarus",0
2009,"Turkey","Belarus",0
2009,"Albania","Belarus",0
2009,"Norway","Belarus",12
2009,"Ukraine","Belarus",6
2009,"Romania","Belarus",0
2009,"United Kingdom","Belarus",3
2009,"Finland","Belarus",0
2009,"Spain","Belarus",0
2008,"Romania","Belarus",0
2008,"United Kingdom","Belarus",0
2008,"Albania","Belarus",0
2008,"Germany","Belarus",0
2008,"Armenia","Belarus",7
2008,"Bosnia-Herzegovina","Belarus",0
2008,"Israel","Belarus",4
2008,"Finland","Belarus",0
2008,"Croatia","Belarus",0
2008,"Poland","Belarus",0
2008,"Iceland","Belarus",0
2008,"Turkey","Belarus",3
2008,"Portugal","Belarus",0
2008,"Latvia","Belarus",0
2008,"Sweden","Belarus",0
2008,"Denmark","Belarus",0
2008,"Georgia","Belarus",6
2008,"Ukraine","Belarus",10
2008,"France","Belarus",0
2008,"Azerbaijan","Belarus",8
2008,"Greece","Belarus",2
2008,"Spain","Belarus",0
2008,"Serbia","Belarus",1
2008,"Russia","Belarus",12
2008,"Norway","Belarus",5
2007,"Bosnia-Herzegovina","Belarus",0
2007,"Spain","Belarus",0
2007,"Ireland","Belarus",0
2007,"Finland","Belarus",1
2007,"Macedonia","Belarus",0
2007,"Slovenia","Belarus",4
2007,"Hungary","Belarus",0
2007,"Lithuania","Belarus",2
2007,"Greece","Belarus",3
2007,"Georgia","Belarus",6
2007,"Sweden","Belarus",0
2007,"France","Belarus",0
2007,"Latvia","Belarus",0
2007,"Russia","Belarus",12
2007,"Germany","Belarus",0
2007,"Serbia","Belarus",7
2007,"Ukraine","Belarus",10
2007,"United Kingdom","Belarus",0
2007,"Romania","Belarus",0
2007,"Bulgaria","Belarus",0
2007,"Turkey","Belarus",0
2007,"Armenia","Belarus",5
2007,"Moldova","Belarus",8
2006,"Switzerland","Belarus",0
2006,"Moldova","Belarus",0
2006,"Israel","Belarus",0
2006,"Latvia","Belarus",0
2006,"Norway","Belarus",1
2006,"Spain","Belarus",0
2006,"Malta","Belarus",0
2006,"Germany","Belarus",0
2006,"Denmark","Belarus",0
2006,"Russia","Belarus",12
2006,"Macedonia","Belarus",0
2006,"Romania","Belarus",3
2006,"Bosnia-Herzegovina","Belarus",4
2006,"Lithuania","Belarus",6
2006,"United Kingdom","Belarus",0
2006,"Greece","Belarus",2
2006,"Finland","Belarus",7
2006,"Ukraine","Belarus",10
2006,"France","Belarus",0
2006,"Croatia","Belarus",0
2006,"Ireland","Belarus",0
2006,"Sweden","Belarus",5
2006,"Turkey","Belarus",0
2006,"Armenia","Belarus",8
2005,"Hungary","Belarus",2
2005,"United Kingdom","Belarus",0
2005,"Malta","Belarus",5
2005,"Romania","Belarus",1
2005,"Norway","Belarus",4
2005,"Turkey","Belarus",0
2005,"Moldova","Belarus",7
2005,"Albania","Belarus",0
2005,"Cyprus","Belarus",0
2005,"Spain","Belarus",0
2005,"Israel","Belarus",8
2005,"Serbia and Montenegro","Belarus",3
2005,"Denmark","Belarus",0
2005,"Sweden","Belarus",0
2005,"Macedonia","Belarus",0
2005,"Ukraine","Belarus",0
2005,"Germany","Belarus",0
2005,"Croatia","Belarus",0
2005,"Greece","Belarus",0
2005,"Russia","Belarus",12
2005,"Bosnia-Herzegovina","Belarus",0
2005,"Switzerland","Belarus",10
2005,"Latvia","Belarus",6
2005,"France","Belarus",0
2004,"Spain","Belarus",2
2004,"Austria","Belarus",0
2004,"Norway","Belarus",0
2004,"France","Belarus",0
2004,"Serbia and Montenegro","Belarus",7
2004,"Malta","Belarus",0
2004,"Netherlands","Belarus",0
2004,"Germany","Belarus",0
2004,"Albania","Belarus",0
2004,"Ukraine","Belarus",10
2004,"Croatia","Belarus",5
2004,"Bosnia-Herzegovina","Belarus",0
2004,"Belgium","Belarus",0
2004,"Russia","Belarus",12
2004,"Macedonia","Belarus",0
2004,"Greece","Belarus",6
2004,"Iceland","Belarus",0
2004,"Ireland","Belarus",0
2004,"Poland","Belarus",0
2004,"United Kingdom","Belarus",1
2004,"Cyprus","Belarus",8
2004,"Turkey","Belarus",3
2004,"Romania","Belarus",0
2004,"Sweden","Belarus",4
2009,"Lithuania","Belgium",0
2009,"Israel","Belgium",8
2009,"France","Belgium",1
2009,"Sweden","Belgium",0
2009,"Croatia","Belgium",0
2009,"Portugal","Belgium",6
2009,"Iceland","Belgium",0
2009,"Greece","Belgium",5
2009,"Armenia","Belgium",7
2009,"Russia","Belgium",0
2009,"Azerbaijan","Belgium",3
2009,"Bosnia-Herzegovina","Belgium",0
2009,"Moldova","Belgium",4
2009,"Malta","Belgium",0
2009,"Estonia","Belgium",0
2009,"Denmark","Belgium",0
2009,"Germany","Belgium",2
2009,"Turkey","Belgium",12
2009,"Albania","Belgium",0
2009,"Norway","Belgium",10
2009,"Ukraine","Belgium",0
2009,"Romania","Belgium",0
2009,"United Kingdom","Belgium",0
2009,"Finland","Belgium",0
2009,"Spain","Belgium",0
2008,"Romania","Belgium",0
2008,"United Kingdom","Belgium",0
2008,"Albania","Belgium",0
2008,"Germany","Belgium",0
2008,"Armenia","Belgium",12
2008,"Bosnia-Herzegovina","Belgium",0
2008,"Israel","Belgium",5
2008,"Finland","Belgium",0
2008,"Croatia","Belgium",0
2008,"Poland","Belgium",0
2008,"Iceland","Belgium",0
2008,"Turkey","Belgium",10
2008,"Portugal","Belgium",6
2008,"Latvia","Belgium",0
2008,"Sweden","Belgium",0
2008,"Denmark","Belgium",0
2008,"Georgia","Belgium",0
2008,"Ukraine","Belgium",1
2008,"France","Belgium",0
2008,"Azerbaijan","Belgium",7
2008,"Greece","Belgium",8
2008,"Spain","Belgium",4
2008,"Serbia","Belgium",0
2008,"Russia","Belgium",3
2008,"Norway","Belgium",2
2007,"Bosnia-Herzegovina","Belgium",0
2007,"Spain","Belgium",3
2007,"Belarus","Belgium",0
2007,"Ireland","Belgium",0
2007,"Finland","Belgium",0
2007,"Macedonia","Belgium",0
2007,"Slovenia","Belgium",2
2007,"Hungary","Belgium",5
2007,"Lithuania","Belgium",0
2007,"Greece","Belgium",8
2007,"Georgia","Belgium",6
2007,"Sweden","Belgium",0
2007,"France","Belgium",0
2007,"Latvia","Belgium",0
2007,"Russia","Belgium",0
2007,"Germany","Belgium",0
2007,"Serbia","Belgium",7
2007,"Ukraine","Belgium",1
2007,"United Kingdom","Belgium",0
2007,"Romania","Belgium",0
2007,"Bulgaria","Belgium",4
2007,"Turkey","Belgium",12
2007,"Armenia","Belgium",10
2007,"Moldova","Belgium",0
2006,"Switzerland","Belgium",0
2006,"Moldova","Belgium",0
2006,"Israel","Belgium",0
2006,"Latvia","Belgium",0
2006,"Norway","Belgium",0
2006,"Spain","Belgium",0
2006,"Malta","Belgium",0
2006,"Germany","Belgium",1
2006,"Denmark","Belgium",0
2006,"Russia","Belgium",3
2006,"Macedonia","Belgium",0
2006,"Romania","Belgium",2
2006,"Bosnia-Herzegovina","Belgium",6
2006,"Lithuania","Belgium",4
2006,"United Kingdom","Belgium",0
2006,"Greece","Belgium",10
2006,"Finland","Belgium",8
2006,"Ukraine","Belgium",0
2006,"France","Belgium",0
2006,"Croatia","Belgium",0
2006,"Ireland","Belgium",0
2006,"Sweden","Belgium",5
2006,"Turkey","Belgium",7
2006,"Armenia","Belgium",12
2005,"Hungary","Belgium",2
2005,"United Kingdom","Belgium",0
2005,"Malta","Belgium",8
2005,"Romania","Belgium",7
2005,"Norway","Belgium",3
2005,"Turkey","Belgium",10
2005,"Moldova","Belgium",1
2005,"Albania","Belgium",0
2005,"Cyprus","Belgium",0
2005,"Spain","Belgium",0
2005,"Israel","Belgium",6
2005,"Serbia and Montenegro","Belgium",0
2005,"Denmark","Belgium",4
2005,"Sweden","Belgium",0
2005,"Macedonia","Belgium",0
2005,"Ukraine","Belgium",0
2005,"Germany","Belgium",0
2005,"Croatia","Belgium",0
2005,"Greece","Belgium",12
2005,"Russia","Belgium",0
2005,"Bosnia-Herzegovina","Belgium",0
2005,"Switzerland","Belgium",0
2005,"Latvia","Belgium",5
2005,"France","Belgium",0
2004,"Spain","Belgium",7
2004,"Austria","Belgium",0
2004,"Norway","Belgium",0
2004,"France","Belgium",10
2004,"Serbia and Montenegro","Belgium",3
2004,"Malta","Belgium",0
2004,"Netherlands","Belgium",6
2004,"Germany","Belgium",0
2004,"Albania","Belgium",1
2004,"Ukraine","Belgium",5
2004,"Croatia","Belgium",0
2004,"Bosnia-Herzegovina","Belgium",0
